Metric,Mean,SD
Accuracy,0.8335480023852118,0.01559391313833515
Precision,0.8746620890244003,0.015757650945592436
Recall,0.9380650542118432,0.010624303542730099
F1-Score,0.9051207239050927,0.00825091669583551
ROC AUC,0.7262623019182651,0.05559973728177297
